G0129,Partial hosp prog service
36578,Replace tunneled cv cath
36580,Replace cvad cath
36581,Replace tunneled cv cath
36582,Replace tunneled cv cath
36583,Replace tunneled cv cath
36584,Replace picc cath
36585,Replace picvad cath
36589,Removal tunneled cv cath
36590,Removal tunneled cv cath
36591,Draw blood off venous device
36592,Collect blood from picc
36593,Declot vascular device
36595,Mech remov tunneled cv cath
36596,Mech remov tunneled cv cath
36597,Reposition venous catheter
36600,Withdrawal of arterial blood
36620,Insertion catheter artery
36625,Insertion catheter artery
36640,Insertion catheter artery
36660,Insertion catheter artery
36680,Insert needle bone cavity
36800,Insertion of cannula
36810,Insertion of cannula
36815,Insertion of cannula
36818,Av fuse uppr arm cephalic
36819,Av fuse uppr arm basilic
36820,Av fusion/forearm vein
36821,Av fusion direct any site
36823,Insertion of cannula(s)
36825,Artery-vein autograft
36830,Artery-vein nonautograft
36831,Open thrombect av fistula
36832,Av fistula revision open
36833,Av fistula revision
36835,Artery to vein shunt
36838,Dist revas ligation hemo
36860,External cannula declotting
36861,Cannula declotting
36902,Intro cath dialysis circuit
36903,Intro cath dialysis circuit
36904,Thrmbc/nfs dialysis circuit
36905,Thrmbc/nfs dialysis circuit
36906,Thrmbc/nfs dialysis circuit
37140,Revision of circulation
37145,Revision of circulation
37160,Revision of circulation
37180,Revision of circulation
37181,Splice spleen/kidney veins
37182,Insert hepatic shunt (tips)
37183,Remove hepatic shunt (tips)
37184,Prim art m-thrmbc 1st vsl
37187,Venous mech thrombectomy
37188,Venous m-thrombectomy add-on
37191,Ins endovas vena cava filtr
37192,Redo endovas vena cava filtr
37193,Rem endovas vena cava filter
37195,Thrombolytic therapy stroke
37197,Remove intrvas foreign body
37211,Thrombolytic art therapy
37212,Thrombolytic venous therapy
37213,Thromblytic art/ven therapy
37214,Cessj therapy cath removal
37215,Transcath stent cca w/eps
37216,Transcath stent cca w/o eps
37217,Stent placemt retro carotid
37218,Stent placemt ante carotid
37220,Iliac revasc
37221,Iliac revasc w/stent
37224,Fem/popl revas w/tla
37225,Fem/popl revas w/ather
37226,Fem/popl revasc w/stent
37227,Fem/popl revasc stnt & ather
37228,Tib/per revasc w/tla
37229,Tib/per revasc w/ather
37230,Tib/per revasc w/stent
37231,Tib/per revasc stent & ather
37236,Open/perq place stent 1st
37238,Open/perq place stent same
37241,Vasc embolize/occlude venous
37242,Vasc embolize/occlude artery
37243,Vasc embolize/occlude organ
37244,Vasc embolize/occlude bleed
37246,Trluml balo angiop 1st art
37248,Trluml balo angiop 1st vein
37500,Endoscopy ligate perf veins
37501,Vascular endoscopy procedure
37565,Ligation of neck vein
37600,Ligation of neck artery
37605,Ligation of neck artery
37606,Ligation of neck artery
37607,Ligation of a-v fistula
37609,Temporal artery procedure
37615,Ligation of neck artery
37616,Ligation of chest artery
37617,Ligation of abdomen artery
37618,Ligation of extremity artery
37619,Ligation of inf vena cava
37650,Revision of major vein
37660,Revision of major vein
37700,Revise leg vein
37718,Ligate/strip short leg vein
37722,Ligate/strip long leg vein
37735,Removal of leg veins/lesion
37760,Ligate leg veins radical
37761,Ligate leg veins open
37765,Stab phleb veins xtr 10-20
37766,Phleb veins - extrem 20+
37780,Revision of leg vein
37785,Ligate/divide/excise vein
37788,Revascularization penis
37790,Penile venous occlusion
37799,Vascular surgery procedure
38100,Removal of spleen total
38101,Removal of spleen partial
38115,Repair of ruptured spleen
38120,Laparoscopy splenectomy
38129,Laparoscope proc spleen
38204,Bl donor search management
38205,Harvest allogeneic stem cell
38206,Harvest auto stem cells
38207,Cryopreserve stem cells
38208,Thaw preserved stem cells
38209,Wash harvest stem cells
38210,T-cell depletion of harvest
38211,Tumor cell deplete of harvst
38212,Rbc depletion of harvest
38213,Platelet deplete of harvest
38214,Volume deplete of harvest
38215,Harvest stem cell concentrte
38230,Bone marrow harvest allogen
38232,Bone marrow harvest autolog
38240,Transplt allo hct/donor
38241,Transplt autol hct/donor
38242,Transplt allo lymphocytes
38243,Transplj hematopoietic boost
38300,Drainage lymph node lesion
38305,Drainage lymph node lesion
38308,Incision of lymph channels
38380,Thoracic duct procedure
38381,Thoracic duct procedure
38382,Thoracic duct procedure
38500,Biopsy/removal lymph nodes
38505,Needle biopsy lymph nodes
38510,Biopsy/removal lymph nodes
38520,Biopsy/removal lymph nodes
38525,Biopsy/removal lymph nodes
38530,Biopsy/removal lymph nodes
38542,Explore deep node(s) neck
38550,Removal neck/armpit lesion
38555,Removal neck/armpit lesion
38562,Removal pelvic lymph nodes
38564,Removal abdomen lymph nodes
38570,Laparoscopy lymph node biop
38571,Laparoscopy lymphadenectomy
38572,Laparoscopy lymphadenectomy
38573,Laps pelvic lymphadec
38589,Laparoscope proc lymphatic
38700,Removal of lymph nodes neck
38720,Removal of lymph nodes neck
38724,Removal of lymph nodes neck
38740,Remove armpit lymph nodes
38745,Remove armpit lymph nodes
38760,Remove groin lymph nodes
38765,Remove groin lymph nodes
38770,Remove pelvis lymph nodes
38780,Remove abdomen lymph nodes
38794,Access thoracic lymph duct
38999,Blood/lymph system procedure
39000,Exploration of chest
39010,Exploration of chest
39200,Resect mediastinal cyst
39220,Resect mediastinal tumor
39499,Chest procedure
39501,Repair diaphragm laceration
39503,Repair of diaphragm hernia
39540,Repair of diaphragm hernia
39541,Repair of diaphragm hernia
39545,Revision of diaphragm
39560,Resect diaphragm simple
39561,Resect diaphragm complex
39599,Diaphragm surgery procedure
40500,Partial excision of lip
40510,Partial excision of lip
40520,Partial excision of lip
40525,Reconstruct lip with flap
40527,Reconstruct lip with flap
40530,Partial removal of lip
40650,Repair lip
40652,Repair lip
40654,Repair lip
40700,Repair cleft lip/nasal
40701,Repair cleft lip/nasal
40702,Repair cleft lip/nasal
40720,Repair cleft lip/nasal
40761,Repair cleft lip/nasal
40799,Lip surgery procedure
40800,Drainage of mouth lesion
40801,Drainage of mouth lesion
40804,Removal foreign body mouth
40805,Removal foreign body mouth
40806,Incision of lip fold
40810,Excision of mouth lesion
40812,Excise/repair mouth lesion
40814,Excise/repair mouth lesion
40816,Excision of mouth lesion
40818,Excise oral mucosa for graft
40819,Excise lip or cheek fold
40820,Treatment of mouth lesion
40830,Repair mouth laceration
40831,Repair mouth laceration
40840,Reconstruction of mouth
40842,Reconstruction of mouth
40843,Reconstruction of mouth
40844,Reconstruction of mouth
40845,Reconstruction of mouth
40899,Mouth surgery procedure
41000,Drainage of mouth lesion
41005,Drainage of mouth lesion
41006,Drainage of mouth lesion
41007,Drainage of mouth lesion
41008,Drainage of mouth lesion
41009,Drainage of mouth lesion
41010,Incision of tongue fold
41015,Drainage of mouth lesion
41016,Drainage of mouth lesion
41017,Drainage of mouth lesion
41018,Drainage of mouth lesion
41110,Excision of tongue lesion
41112,Excision of tongue lesion
41113,Excision of tongue lesion
41114,Excision of tongue lesion
41115,Excision of tongue fold
41116,Excision of mouth lesion
41120,Partial removal of tongue
41130,Partial removal of tongue
41135,Tongue and neck surgery
41140,Removal of tongue
41145,Tongue removal neck surgery
41150,Tongue mouth jaw surgery
41153,Tongue mouth neck surgery
41155,Tongue jaw & neck surgery
41250,Repair tongue laceration
41251,Repair tongue laceration
41252,Repair tongue laceration
41500,Fixation of tongue
41510,Tongue to lip surgery
41512,Tongue suspension
41520,Reconstruction tongue fold
41530,Tongue base vol reduction
41599,Tongue and mouth surgery
41800,Drainage of gum lesion
41805,Removal foreign body gum
41806,Removal foreign body jawbone
41820,Excision gum each quadrant
41821,Excision of gum flap
41822,Excision of gum lesion
41823,Excision of gum lesion
41825,Excision of gum lesion
41826,Excision of gum lesion
41827,Excision of gum lesion
41828,Excision of gum lesion
41830,Removal of gum tissue
41850,Treatment of gum lesion
41870,Gum graft
41872,Repair gum
41874,Repair tooth socket
41899,Dental surgery procedure
42000,Drainage mouth roof lesion
42104,Excision lesion mouth roof
42106,Excision lesion mouth roof
42107,Excision lesion mouth roof
42120,Remove palate/lesion
42140,Excision of uvula
42145,Repair palate pharynx/uvula
42160,Treatment mouth roof lesion
42180,Repair palate
42182,Repair palate
42200,Reconstruct cleft palate
42205,Reconstruct cleft palate
42210,Reconstruct cleft palate
42215,Reconstruct cleft palate
42220,Reconstruct cleft palate
42225,Reconstruct cleft palate
42226,Lengthening of palate
42227,Lengthening of palate
42235,Repair palate
42260,Repair nose to lip fistula
42280,Preparation palate mold
42281,Insertion palate prosthesis
42299,Palate/uvula surgery
42300,Drainage of salivary gland
42305,Drainage of salivary gland
42310,Drainage of salivary gland
42320,Drainage of salivary gland
42330,Removal of salivary stone
42335,Removal of salivary stone
42340,Removal of salivary stone
42408,Excision of salivary cyst
42409,Drainage of salivary cyst
42410,Excise parotid gland/lesion
42415,Excise parotid gland/lesion
42420,Excise parotid gland/lesion
42425,Excise parotid gland/lesion
42426,Excise parotid gland/lesion
42440,Excise submaxillary gland
42450,Excise sublingual gland
42500,Repair salivary duct
42505,Repair salivary duct
42507,Parotid duct diversion
42509,Parotid duct diversion
42510,Parotid duct diversion
42600,Closure of salivary fistula
42650,Dilation of salivary duct
42660,Dilation of salivary duct
42665,Ligation of salivary duct
42699,Salivary surgery procedure
42700,Drainage of tonsil abscess
42720,Drainage of throat abscess
42725,Drainage of throat abscess
42808,Excise pharynx lesion
42809,Remove pharynx foreign body
42810,Excision of neck cyst
42815,Excision of neck cyst
42820,Remove tonsils and adenoids
42821,Remove tonsils and adenoids
42825,Removal of tonsils
42826,Removal of tonsils
42830,Removal of adenoids
42831,Removal of adenoids
42835,Removal of adenoids
42836,Removal of adenoids
42842,Extensive surgery of throat
42844,Extensive surgery of throat
42845,Extensive surgery of throat
42860,Excision of tonsil tags
42870,Excision of lingual tonsil
42890,Partial removal of pharynx
42892,Revision of pharyngeal walls
42894,Revision of pharyngeal walls
42900,Repair throat wound
42950,Reconstruction of throat
42953,Repair throat esophagus
42955,Surgical opening of throat
42960,Control throat bleeding
42961,Control throat bleeding
42962,Control throat bleeding
42970,Control nose/throat bleeding
42971,Control nose/throat bleeding
42972,Control nose/throat bleeding
42999,Throat surgery procedure
43020,Incision of esophagus
43030,Throat muscle surgery
43045,Incision of esophagus
43100,Excision of esophagus lesion
43101,Excision of esophagus lesion
43107,Removal of esophagus
43108,Removal of esophagus
43112,Esphg tot w/thrcm
43113,Removal of esophagus
43116,Partial removal of esophagus
43117,Partial removal of esophagus
43118,Partial removal of esophagus
43121,Partial removal of esophagus
43122,Partial removal of esophagus
43123,Partial removal of esophagus
43124,Removal of esophagus
43130,Removal of esophagus pouch
43135,Removal of esophagus pouch
43180,Esophagoscopy rigid trnso
43191,Esophagoscopy rigid trnso dx
43192,Esophagoscp rig trnso inject
43194,Esophagoscp rig trnso rem fb
43195,Esophagoscopy rigid balloon
43196,Esophagoscp guide wire dilat
43197,Esophagoscopy flex dx brush
43200,Esophagoscopy flexible brush
43201,Esoph scope w/submucous inj
43202,Esophagoscopy flex biopsy
43204,Esoph scope w/sclerosis inj
43205,Esophagus endoscopy/ligation
43206,Esoph optical endomicroscopy
43210,Egd esophagogastrc fndoplsty
43211,Esophagoscop mucosal resect
43212,Esophagoscop stent placement
43213,Esophagoscopy retro balloon
43214,Esophagosc dilate balloon 30
43215,Esophagoscopy flex remove fb
43216,Esophagoscopy lesion removal
43217,Esophagoscopy snare les remv
43220,Esophagoscopy balloon <30mm
43226,Esoph endoscopy dilation
43227,Esophagoscopy control bleed
43229,Esophagoscopy lesion ablate
43231,Esophagoscop ultrasound exam
43232,Esophagoscopy w/us needle bx
43233,Egd balloon dil esoph30 mm/>
43235,Egd diagnostic brush wash
43236,Uppr gi scope w/submuc inj
43237,Endoscopic us exam esoph
43238,Egd us fine needle bx/aspir
43239,Egd biopsy single/multiple
43240,Egd w/transmural drain cyst
43241,Egd tube/cath insertion
43242,Egd us fine needle bx/aspir
43243,Egd injection varices
43244,Egd varices ligation
43245,Egd dilate stricture
43246,Egd place gastrostomy tube
43247,Egd remove foreign body
43248,Egd guide wire insertion
43249,Esoph egd dilation <30 mm
43250,Egd cautery tumor polyp
43251,Egd remove lesion snare
43252,Egd optical endomicroscopy
43253,Egd us transmural injxn/mark
43254,Egd endo mucosal resection
43255,Egd control bleeding any
43257,Egd w/thrml txmnt gerd
43259,Egd us exam duodenum/jejunum
43260,Ercp w/specimen collection
43261,Endo cholangiopancreatograph
43262,Endo cholangiopancreatograph
43263,Ercp sphincter pressure meas
43264,Ercp remove duct calculi
43265,Ercp lithotripsy calculi
43266,Egd endoscopic stent place
43270,Egd lesion ablation
43274,Ercp duct stent placement
43275,Ercp remove forgn body duct
43276,Ercp stent exchange w/dilate
43277,Ercp ea duct/ampulla dilate
43278,Ercp lesion ablate w/dilate
43279,Lap myotomy heller
43280,Laparoscopy fundoplasty
43281,Lap paraesophag hern repair
43282,Lap paraesoph her rpr w/mesh
43284,Laps esophgl sphnctr agmntj
43285,Rmvl esophgl sphnctr dev
43286,Esphg tot w/laps moblj
43287,Esphg dstl 2/3 w/laps moblj
43288,Esphg thrsc moblj
43289,Laparoscope proc esoph
43300,Repair of esophagus
43305,Repair esophagus and fistula
43310,Repair of esophagus
43312,Repair esophagus and fistula
43313,Esophagoplasty congenital
43314,Tracheo-esophagoplasty cong
43320,Fuse esophagus & stomach
43325,Revise esophagus & stomach
43327,Esoph fundoplasty lap
43328,Esoph fundoplasty thor
43330,Esophagomyotomy abdominal
43331,Esophagomyotomy thoracic
43332,Transab esoph hiat hern rpr
43333,Transab esoph hiat hern rpr
43334,Transthor diaphrag hern rpr
43335,Transthor diaphrag hern rpr
43336,Thorabd diaphr hern repair
43337,Thorabd diaphr hern repair
43340,Fuse esophagus & intestine
43341,Fuse esophagus & intestine
43351,Surgical opening esophagus
43352,Surgical opening esophagus
43360,Gastrointestinal repair
43361,Gastrointestinal repair
43400,Ligate esophagus veins
43401,Esophagus surgery for veins
43405,Ligate/staple esophagus
43410,Repair esophagus wound
43415,Repair esophagus wound
43420,Repair esophagus opening
43425,Repair esophagus opening
43450,Dilate esophagus 1/mult pass
43453,Dilate esophagus
43460,Pressure treatment esophagus
43496,Free jejunum flap microvasc
43499,Esophagus surgery procedure
43500,Surgical opening of stomach
43501,Surgical repair of stomach
43502,Surgical repair of stomach
43510,Surgical opening of stomach
43520,Incision of pyloric muscle
43610,Excision of stomach lesion
43611,Excision of stomach lesion
43620,Removal of stomach
43621,Removal of stomach
43622,Removal of stomach
43631,Removal of stomach partial
43632,Removal of stomach partial
43633,Removal of stomach partial
43634,Removal of stomach partial
43640,Vagotomy & pylorus repair
43641,Vagotomy & pylorus repair
43644,Lap gastric bypass/roux-en-y
43645,Lap gastr bypass incl smll i
43647,Lap impl electrode antrum
43648,Lap revise/remv eltrd antrum
43651,Laparoscopy vagus nerve
43652,Laparoscopy vagus nerve
43653,Laparoscopy gastrostomy
43659,Laparoscope proc stom
43752,Nasal/orogastric w/tube plmt
43753,Tx gastro intub w/asp
43754,Dx gastr intub w/asp spec
43755,Dx gastr intub w/asp specs
43756,Dx duod intub w/asp spec
43757,Dx duod intub w/asp specs
43760,Change gastrostomy tube
43761,Reposition gastrostomy tube
43770,Lap place gastr adj device
43771,Lap revise gastr adj device
43772,Lap rmvl gastr adj device
43773,Lap replace gastr adj device
43774,Lap rmvl gastr adj all parts
43775,Lap sleeve gastrectomy
43800,Reconstruction of pylorus
43810,Fusion of stomach and bowel
43820,Fusion of stomach and bowel
43825,Fusion of stomach and bowel
43830,Place gastrostomy tube
43831,Place gastrostomy tube
43832,Place gastrostomy tube
43840,Repair of stomach lesion
43842,V-band gastroplasty
43843,Gastroplasty w/o v-band
43845,Gastroplasty duodenal switch
43846,Gastric bypass for obesity
43847,Gastric bypass incl small i
43848,Revision gastroplasty
43850,Revise stomach-bowel fusion
43855,Revise stomach-bowel fusion
43860,Revise stomach-bowel fusion
43865,Revise stomach-bowel fusion
43870,Repair stomach opening
43880,Repair stomach-bowel fistula
43881,Impl/redo electrd antrum
43882,Revise/remove electrd antrum
43886,Revise gastric port open
43887,Remove gastric port open
43888,Change gastric port open
43999,Stomach surgery procedure
44005,Freeing of bowel adhesion
44010,Incision of small bowel
44020,Explore small intestine
44021,Decompress small bowel
44025,Incision of large bowel
44050,Reduce bowel obstruction
44055,Correct malrotation of bowel
44110,Excise intestine lesion(s)
44111,Excision of bowel lesion(s)
44120,Removal of small intestine
44125,Removal of small intestine
44126,Enterectomy w/o taper cong
44127,Enterectomy w/taper cong
44130,Bowel to bowel fusion
44133,Enterectomy live donor
44135,Intestine transplnt cadaver
44136,Intestine transplant live
44137,Remove intestinal allograft
44140,Partial removal of colon
44141,Partial removal of colon
44143,Partial removal of colon
44144,Partial removal of colon
44145,Partial removal of colon
44146,Partial removal of colon
44147,Partial removal of colon
44150,Removal of colon
44151,Removal of colon/ileostomy
44155,Removal of colon/ileostomy
44156,Removal of colon/ileostomy
44157,Colectomy w/ileoanal anast
44158,Colectomy w/neo-rectum pouch
44160,Removal of colon
44180,Lap enterolysis
44186,Lap jejunostomy
44187,Lap ileo/jejuno-stomy
44188,Lap colostomy
44202,Lap enterectomy
44204,Laparo partial colectomy
44205,Lap colectomy part w/ileum
44206,Lap part colectomy w/stoma
44207,L colectomy/coloproctostomy
44208,L colectomy/coloproctostomy
44210,Laparo total proctocolectomy
44211,Lap colectomy w/proctectomy
44212,Laparo total proctocolectomy
44227,Lap close enterostomy
44238,Laparoscope proc intestine
44300,Open bowel to skin
44310,Ileostomy/jejunostomy
44312,Revision of ileostomy
44314,Revision of ileostomy
44316,Devise bowel pouch
44320,Colostomy
44322,Colostomy with biopsies
44340,Revision of colostomy
44345,Revision of colostomy
44346,Revision of colostomy
44360,Small bowel endoscopy
44361,Small bowel endoscopy/biopsy
44363,Small bowel endoscopy
44364,Small bowel endoscopy
44365,Small bowel endoscopy
44366,Small bowel endoscopy
44369,Small bowel endoscopy
44370,Small bowel endoscopy/stent
44372,Small bowel endoscopy
44373,Small bowel endoscopy
44376,Small bowel endoscopy
44377,Small bowel endoscopy/biopsy
44378,Small bowel endoscopy
44379,S bowel endoscope w/stent
44380,Small bowel endoscopy br/wa
44381,Small bowel endoscopy br/wa
44382,Small bowel endoscopy
44384,Small bowel endoscopy
44385,Endoscopy of bowel pouch
44386,Endoscopy bowel pouch/biop
44388,Colonoscopy thru stoma spx
44389,Colonoscopy with biopsy
44390,Colonoscopy for foreign body
44391,Colonoscopy for bleeding
44392,Colonoscopy & polypectomy
44394,Colonoscopy w/snare
44401,Colonoscopy with ablation
44402,Colonoscopy w/stent plcmt
44403,Colonoscopy w/resection
44404,Colonoscopy w/injection
44405,Colonoscopy w/dilation
44406,Colonoscopy w/ultrasound
44407,Colonoscopy w/ndl aspir/bx
44408,Colonoscopy w/decompression
44500,Intro gastrointestinal tube
44602,Suture small intestine
44603,Suture small intestine
44604,Suture large intestine
44605,Repair of bowel lesion
44615,Intestinal stricturoplasty
44620,Repair bowel opening
44625,Repair bowel opening
44626,Repair bowel opening
44640,Repair bowel-skin fistula
44650,Repair bowel fistula
44660,Repair bowel-bladder fistula
44661,Repair bowel-bladder fistula
44680,Surgical revision intestine
44700,Suspend bowel w/prosthesis
44799,Unlisted px small intestine
44800,Excision of bowel pouch
44820,Excision of mesentery lesion
44850,Repair of mesentery
44899,Bowel surgery procedure
44900,Drain appendix abscess open
44950,Appendectomy
44960,Appendectomy
44970,Laparoscopy appendectomy
44979,Laparoscope proc app
45000,Drainage of pelvic abscess
45005,Drainage of rectal abscess
45020,Drainage of rectal abscess
45108,Removal of anorectal lesion
45110,Removal of rectum
45111,Partial removal of rectum
45112,Removal of rectum
45113,Partial proctectomy
45114,Partial removal of rectum
45116,Partial removal of rectum
45119,Remove rectum w/reservoir
45120,Removal of rectum
45121,Removal of rectum and colon
45123,Partial proctectomy
45126,Pelvic exenteration
45130,Excision of rectal prolapse
45135,Excision of rectal prolapse
45136,Excise ileoanal reservior
45150,Excision of rectal stricture
45160,Excision of rectal lesion
45171,Exc rect tum transanal part
45172,Exc rect tum transanal full
45190,Destruction rectal tumor
45300,Proctosigmoidoscopy dx
45303,Proctosigmoidoscopy dilate
45305,Proctosigmoidoscopy w/bx
45307,Proctosigmoidoscopy fb
45308,Proctosigmoidoscopy removal
45309,Proctosigmoidoscopy removal
45315,Proctosigmoidoscopy removal
45317,Proctosigmoidoscopy bleed
45320,Proctosigmoidoscopy ablate
45321,Proctosigmoidoscopy volvul
45327,Proctosigmoidoscopy w/stent
45330,Diagnostic sigmoidoscopy
45331,Sigmoidoscopy and biopsy
45332,Sigmoidoscopy w/fb removal
45333,Sigmoidoscopy & polypectomy
45334,Sigmoidoscopy for bleeding
45335,Sigmoidoscopy w/submuc inj
45337,Sigmoidoscopy & decompress
45338,Sigmoidoscopy w/tumr remove
45340,Sig w/tndsc balloon dilation
45341,Sigmoidoscopy w/ultrasound
45342,Sigmoidoscopy w/us guide bx
45346,Sigmoidoscopy w/ablation
45347,Sigmoidoscopy w/plcmt stent
45349,Sigmoidoscopy w/resection
45350,Sgmdsc w/band ligation
45378,Diagnostic colonoscopy
45379,Colonoscopy w/fb removal
45380,Colonoscopy and biopsy
45381,Colonoscopy submucous njx
45382,Colonoscopy w/control bleed
45384,Colonoscopy w/lesion removal
45385,Colonoscopy w/lesion removal
45386,Colonoscopy w/balloon dilat
45388,Colonoscopy w/ablation
45389,Colonoscopy w/stent plcmt
45390,Colonoscopy w/resection
45391,Colonoscopy w/endoscope us
45392,Colonoscopy w/endoscopic fnb
45393,Colonoscopy w/decompression
45395,Lap removal of rectum
45397,Lap remove rectum w/pouch
45398,Colonoscopy w/band ligation
45399,Unlisted procedure colon
45400,Laparoscopic proc
45402,Lap proctopexy w/sig resect
45499,Laparoscope proc rectum
45500,Repair of rectum
45505,Repair of rectum
45520,Treatment of rectal prolapse
45540,Correct rectal prolapse
45541,Correct rectal prolapse
45550,Repair rectum/remove sigmoid
45560,Repair of rectocele
45562,Exploration/repair of rectum
45563,Exploration/repair of rectum
45800,Repair rect/bladder fistula
45805,Repair fistula w/colostomy
45820,Repair rectourethral fistula
45825,Repair fistula w/colostomy
45900,Reduction of rectal prolapse
45905,Dilation of anal sphincter
45910,Dilation of rectal narrowing
45915,Remove rectal obstruction
45990,Surg dx exam anorectal
45999,Rectum surgery procedure
46020,Placement of seton
46030,Removal of rectal marker
46040,Incision of rectal abscess
46045,Incision of rectal abscess
46050,Incision of anal abscess
46060,Incision of rectal abscess
46070,Incision of anal septum
46080,Incision of anal sphincter
46083,Incise external hemorrhoid
46200,Removal of anal fissure
46220,Excise anal ext tag/papilla
46221,Ligation of hemorrhoid(s)
46230,Removal of anal tags
46250,Remove ext hem groups 2+
46255,Remove int/ext hem 1 group
46257,Remove in/ex hem grp & fiss
46258,Remove in/ex hem grp w/fistu
46260,Remove in/ex hem groups 2+
46261,Remove in/ex hem grps & fiss
46262,Remove in/ex hem grps w/fist
46270,Remove anal fist subq
46275,Remove anal fist inter
46280,Remove anal fist complex
46285,Remove anal fist 2 stage
46288,Repair anal fistula
46320,Removal of hemorrhoid clot
46500,Injection into hemorrhoid(s)
46505,Chemodenervation anal musc
46600,Diagnostic anoscopy spx
46601,Diagnostic anoscopy
46604,Anoscopy and dilation
46606,Anoscopy and biopsy
46607,Diagnostic anoscopy & biopsy
46608,Anoscopy remove for body
46610,Anoscopy remove lesion
46611,Anoscopy
46612,Anoscopy remove lesions
46614,Anoscopy control bleeding
46615,Anoscopy
46700,Repair of anal stricture
46705,Repair of anal stricture
46706,Repr of anal fistula w/glue
46707,Repair anorectal fist w/plug
46710,Repr per/vag pouch sngl proc
46712,Repr per/vag pouch dbl proc
46715,Rep perf anoper fistu
46716,Rep perf anoper/vestib fistu
46730,Construction of absent anus
46735,Construction of absent anus
46740,Construction of absent anus
46742,Repair of imperforated anus
46744,Repair of cloacal anomaly
46746,Repair of cloacal anomaly
46748,Repair of cloacal anomaly
46750,Repair of anal sphincter
46751,Repair of anal sphincter
46753,Reconstruction of anus
46754,Removal of suture from anus
46760,Repair of anal sphincter
46761,Repair of anal sphincter
46762,Implant artificial sphincter
46900,Destruction anal lesion(s)
46910,Destruction anal lesion(s)
46916,Cryosurgery anal lesion(s)
46917,Laser surgery anal lesions
46922,Excision of anal lesion(s)
46924,Destruction anal lesion(s)
46930,Destroy internal hemorrhoids
46940,Treatment of anal fissure
46942,Treatment of anal fissure
46945,Remove by ligat int hem grp
46946,Remove by ligat int hem grps
46947,Hemorrhoidopexy by stapling
46999,Anus surgery procedure
47010,Open drainage liver lesion
47015,Inject/aspirate liver cyst
47120,Partial removal of liver
47122,Extensive removal of liver
47125,Partial removal of liver
47130,Partial removal of liver
47135,Transplantation of liver
47140,Partial removal donor liver
47141,Partial removal donor liver
47142,Partial removal donor liver
47143,Prep donor liver whole
47300,Surgery for liver lesion
47350,Repair liver wound
47360,Repair liver wound
47361,Repair liver wound
47362,Repair liver wound
47370,Laparo ablate liver tumor rf
47371,Laparo ablate liver cryosurg
47379,Laparoscope procedure liver
47380,Open ablate liver tumor rf
47381,Open ablate liver tumor cryo
47382,Percut ablate liver rf
47383,Perq abltj lvr cryoablation
47399,Liver surgery procedure
47400,Incision of liver duct
47420,Incision of bile duct
47425,Incision of bile duct
47460,Incise bile duct sphincter
47480,Incision of gallbladder
47490,Incision of gallbladder
47533,Plmt biliary drainage cath
47534,Plmt biliary drainage cath
47535,Conversion ext bil drg cath
47536,Exchange biliary drg cath
47537,Removal biliary drg cath
47538,Perq plmt bile duct stent
47539,Perq plmt bile duct stent
47540,Perq plmt bile duct stent
47552,Biliary endo perq dx w/speci
47553,Biliary endoscopy thru skin
47554,Biliary endoscopy thru skin
47555,Biliary endoscopy thru skin
47556,Biliary endoscopy thru skin
47562,Laparoscopic cholecystectomy
47563,Laparo cholecystectomy/graph
47564,Laparo cholecystectomy/explr
47570,Laparo cholecystoenterostomy
47579,Laparoscope proc biliary
47600,Removal of gallbladder
47605,Removal of gallbladder
47610,Removal of gallbladder
47612,Removal of gallbladder
47620,Removal of gallbladder
47700,Exploration of bile ducts
47701,Bile duct revision
47711,Excision of bile duct tumor
47712,Excision of bile duct tumor
47715,Excision of bile duct cyst
47720,Fuse gallbladder & bowel
47721,Fuse upper gi structures
47740,Fuse gallbladder & bowel
47741,Fuse gallbladder & bowel
47760,Fuse bile ducts and bowel
47765,Fuse liver ducts & bowel
47780,Fuse bile ducts and bowel
47785,Fuse bile ducts and bowel
47800,Reconstruction of bile ducts
47801,Placement bile duct support
47802,Fuse liver duct & intestine
47900,Suture bile duct injury
47999,Bile tract surgery procedure
48000,Drainage of abdomen
48001,Placement of drain pancreas
48020,Removal of pancreatic stone
48105,Resect/debride pancreas
48120,Removal of pancreas lesion
48140,Partial removal of pancreas
48145,Partial removal of pancreas
48146,Pancreatectomy
48148,Removal of pancreatic duct
48150,Partial removal of pancreas
48152,Pancreatectomy
48153,Pancreatectomy
48154,Pancreatectomy
48155,Removal of pancreas
48160,Pancreas removal/transplant
48500,Surgery of pancreatic cyst
48510,Drain pancreatic pseudocyst
48520,Fuse pancreas cyst and bowel
48540,Fuse pancreas cyst and bowel
48545,Pancreatorrhaphy
48547,Duodenal exclusion
48548,Fuse pancreas and bowel
48554,Transpl allograft pancreas
48556,Removal allograft pancreas
48999,Pancreas surgery procedure
49000,Exploration of abdomen
49002,Reopening of abdomen
49010,Exploration behind abdomen
49020,Drainage abdom abscess open
49040,Drain open abdom abscess
49060,Drain open retroperi abscess
49062,Drain to peritoneal cavity
49082,Abd paracentesis
49083,Abd paracentesis w/imaging
49084,Peritoneal lavage
49185,Sclerotx fluid collection
49203,Exc abd tum 5 cm or less
49204,Exc abd tum over 5 cm
49205,Exc abd tum over 10 cm
49215,Excise sacral spine tumor
49220,Multiple surgery abdomen
49250,Excision of umbilicus
49255,Removal of omentum
